"meta:instanceID","id","qr_ozone","qr_no2","qr_h2s","qr_so2","install_time","notes"
"uuid:eb76e8d5-2900-443b-b02d-0bf740b9f9ac","103","050217012460 110401 O3 1705 -11.43","071717010127 110501 NO2 1707 -30.49","071817010405 110303 H2S 1707 248.81","071217010723 110601 SO2 1707 36.94","Mon Apr 23 02:43:44 UTC 2018",
"uuid:7b711fdd-c540-435a-b5e2-8c66fddf7983","105","050217012403 110401 O3 1705 -10.5","071717010408 110501 NO2 1707 -39.43","071817010452 110303 H2S 1707 285.62","071217010728 110601 SO2 1707 37.53","Mon Apr 23 02:45:45 UTC 2018",
"uuid:4cb649b1-7f95-4aee-b7dd-88202b459c4b","106","111116030244 110401 O3 1701 -17.78","111416020109 110501 NO2 1612 -41.88","111116010146 110303 H2S 1612 258.87","111516040313 110601 SO2 1701 34.94","Mon Apr 23 02:48:10 UTC 2018",
"uuid:f5536238-3e30-4c22-b924-5b5dd71d0feb","107","111116030216 110401 O3 1701 -15.51","111416020241 110501 NO2 1612 -45.30","111116010142 110303 H2S 1612 276.57","111516040224 110601 SO2 1701 29.92","Mon Apr 23 02:51:04 UTC 2018",
"uuid:5a157621-69f4-488d-9c3e-de5429b83a1e","108","111116030250 110401 O3 1701 -17.31","111416020102 110501 NO2 1612 -40.97","111116010121 110303 H2S 1612 262.69","111516040125 110601 SO2 1701 37.13","Mon Apr 23 02:53:07 UTC 2018",
"uuid:8b09f33d-51e1-4070-b2c9-b029f1a2f7e6","50","050217012451 110401 O3 1705 -11.63","071717010124 110501 NO2 1707 -32.14","071817010458 110303 H2S 1707 273.78","071217010704 110601 SO2 1707 35.81","Mon Apr 23 02:54:41 UTC 2018",
"uuid:c19c452f-984d-4dec-a597-d262ecd5e210","14","050217012457 110401 O3 1705 -10.76","071717010112 110501 NO2 1707 -33.84","071817010218 110303 H2S 1707 284.11","071217010721 110601 SO2 1707 26.11","Mon Apr 23 02:56:36 UTC 2018","was at mde site first campain, was water damaged"
"uuid:14eba7d7-5f61-4412-bfcc-0bfac487ca4e","53","050217012438 110401 O3 1705 -13.98","071717010441 110501 NO2 1707 -41.70","071817010252 110303 H2S 1707 292.15","071217010703 110601 SO2 1707 35.07","Mon Apr 23 02:59:41 UTC 2018",
"uuid:242e7fb7-64b1-48b4-8e4a-511261a9a6be","41","050217012436 110401 O3 1705 -10.33","071717010411 110501 NO2 1707 -43.28","071817010419 110303 H2S 1707 250.20","071217010752 110601 SO2 1707 39.08","Mon Apr 23 03:01:41 UTC 2018",
"uuid:03d3f36e-6c9f-4c2c-b732-0b4ff9eabcae","55","050217012405 110401 O3 1705 -12.63","071717010103 110501 NO2 1707 -37.96","071817010442 110303 H2S 1707 287.64","071217010757 110601 SO2 1707 37.88","Mon Apr 23 03:03:26 UTC 2018",
"uuid:6781f088-714f-4487-af34-966d1ec3e3fc","51","050217012444 110401 O3 1705 -14.88","071717010150 110501 NO2 1707 -30.22","071817010449 110303 H2S 1707 279.44","071217010732 110601 SO2 1707 36.80","Mon Apr 23 03:06:33 UTC 2018",
"uuid:a1d502bf-bf31-463e-8feb-ebd488d6b7ea","45","050217012323 110401 O3 1705 -15.07","071717010406 110501 NO2 1707 -41.12","071817010443 110303 H2S 1707 274.90","071217010706 110601 SO2 1707 26.83","Mon Apr 23 03:09:47 UTC 2018",
"uuid:26958c07-7771-4a6d-bb7e-34ed6523cde2","109","111116030248 110401 O3 1701 -16.43","111416020156 110501 NO2 1612 -46.60","111116010130 110303 H2S 1612 221.88","111516040214 110601 SO2 1701 33.74","Mon Apr 23 03:13:50 UTC 2018",
"uuid:1c6d7465-8b1d-483b-9456-fa0f809cd43b","22","050217012330 110401 O3 1705 -11.11","071717010131 110501 NO2 1707 -37.92","071817010420 110303 H2S 1707 225.57","071217010756 110601 SO2 1707 37.04","Mon Apr 23 03:16:34 UTC 2018",
