"meta:instanceID","id","qr_ozone","qr_no2","qr_h2s","qr_so2","Location:Latitude","Location:Longitude","Location:Altitude","Location:Accuracy","sunorshade","photo","install_time","notes"
"uuid:e94da6a3-e050-4b41-be7e-32798cfd53a9","36","050217012228 110401 O3 1705 -11.78","071717010111 110501 NO2 1707 -33.70","071817010214 110303 H2S 1707 269.11","071217010254 110601 SO2 1707 40.27",,,,,,,"Sun Sep 17 22:16:28 UTC 2017",
"uuid:f908c5af-e135-4cbb-a044-3d316249d5d4","37","050217012326 110401 O3 1705 -11.28","071717010142 110501 NO2 1707 -32.33","071817010210 110303 H2S 1707 250.19","071217010233 110601 SO2 1707 39.91",,,,,,,"Sun Sep 17 22:19:04 UTC 2017",
"uuid:2b049c00-6c1f-4bf0-89c5-dac9711bfee3","40","050217012321 110401 O3 1705 -15.26","071717010412 110501 NO2 1707 -41.14","071817010222 110303 H2S 1707 296.79","071217010245 110601 SO2 1707 41.74",,,,,,,"Sun Sep 17 22:32:16 UTC 2017",
"uuid:fa243514-0ff3-4cf7-bf9a-9e8f3ba6c778","23","050217012404 110401 O3 1705 -13.44","071717010148 110501 NO2 1707 -29.26","071817010220 110303 H2S 1707 251.73","071217010725 110601 SO2 1707 36.54",,,,,,,"Sun Sep 17 01:42:26 UTC 2017",
"uuid:ca52cc93-0c15-42c4-aaf4-bee966847e23","22","050217012330 110401 O3 1705 -11.11","071717010131 110501 NO2 1707 -37.92","071817010420 110303 H2S 1707 225.57","071217010756 110601 SO2 1707 37.04",,,,,,,"Sun Sep 17 01:43:07 UTC 2017",
"uuid:0faed93a-0c69-46db-a491-24ca1c5753d6","20","050217012437 110401 O3 1705 -11.54","071717010419 110501 NO2 1707 -39.82","071817010447 110303 H2S 1707 279.11","071217010711 110601 SO2 1707 30.49",,,,,,,"Sun Sep 17 01:42:44 UTC 2017",
"uuid:3f21a663-7d89-4be3-b46b-44b7c4eb6e24","25","050217012413 110401 O3 1705 -10.83","071717010115 110501 NO2 1707 -32.17","071817010239 110303 H2S 1707 275.41","071217010709 110601 SO2 1707 39.34",,,,,,,"Sun Sep 17 01:42:51 UTC 2017",
"uuid:0e9586c6-4cac-48be-af5c-39fccb550b62","27","050217012327 110401 O3 1705 -12.96","071717010454 110501 NO2 1707 -43.37","071717010155 110501 NO2 1707 -30.25","071217010712 110601 SO2 1707 38.74",,,,,,,"Sun Sep 17 01:43:13 UTC 2017",
"uuid:9b6c542c-77ba-4f8a-b26a-32ef615e04d6","25","050217012413 110401 O3 1705 -10.83","071717010115 110501 NO2 1707 -32.17","071817010239 110303 H2S 1707 275.41","071217010709 110601 SO2 1707 39.34",,,,,,,"Sun Sep 17 01:43:23 UTC 2017",
"uuid:be6b74ce-6002-4d59-890b-b375328506bf","26","050217012216 110401 O3 1705 -10.67","071717010116 110501 NO2 1707 -31.59","071817010438 110303 H2S 1707 263.01","071217010754 110601 SO2 1707 38.21",,,,,,,"Sun Sep 17 01:43:31 UTC 2017",
"uuid:353406da-5497-437b-bd1a-b5103e231960","24","050217012325 110401 O3 1705 -13.06","071717010137 110501 NO2 1707 -39.06","071817010219 110303 H2S 1707 260.54","071217010758 110601 SO2 1707 38.03",,,,,,,"Sun Sep 17 01:43:36 UTC 2017",
"uuid:d56f2afb-ae6d-4910-9972-1d1bbf7f9a9a","19","050217012449 110401 O3 1705 -14.68","071717010143 110501 NO2 1707 -31.16","071817010212 110303 H2S 1707 286.09","071217010760 110601 SO2 1707 39.60",,,,,,,"Sun Sep 17 01:43:40 UTC 2017",
"uuid:ad4cd845-1c36-4148-a00b-399aea030136","21","050217012302 110401 O3 1705 -13.2","071717010109 110501 NO2 1707 -37.12","071817010416 110303 H2S 1707 248.93","071217010741 110601 SO2 1707 40.88",,,,,,,"Sun Sep 17 01:43:45 UTC 2017",
"uuid:5189dbce-c7b6-4424-a2bc-b514a0fae201","35",,,,,"39.2879586300","-76.5683783100","-17.0000000000","36.0000000000","partial","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_BaltimoreOpenAir2017_1503427167%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A5189dbce-c7b6-4424-a2bc-b514a0fae201%5D%2Fphoto","Mon Sep 18 19:08:10 UTC 2017","Abbot church"
"uuid:f2f5c051-32d9-4e4d-b81b-c54dd3620159","38",,,,,"39.2878680000","-76.5685891000","0E-10","21.4920000000","partial","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_BaltimoreOpenAir2017_1503427167%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Af2f5c051-32d9-4e4d-b81b-c54dd3620159%5D%2Fphoto","Mon Sep 18 19:13:37 UTC 2017","Abbott church"
"uuid:0183ddbb-6d89-4d5c-bc6d-2bd3655afa5d","34",,,,,"39.2878534000","-76.5686342000","0E-10","20.4790000000","partial","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_BaltimoreOpenAir2017_1503427167%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A0183ddbb-6d89-4d5c-bc6d-2bd3655afa5d%5D%2Fphoto","Mon Sep 18 19:17:25 UTC 2017","Abbott church"
"uuid:7b795e11-5142-486a-bdd5-52855bb74bbc","40",,,,,"39.2427197400","-76.5104339700","-40.0000000000","5.0000000000","sun","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_BaltimoreOpenAir2017_1503427167%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A7b795e11-5142-486a-bdd5-52855bb74bbc%5D%2Fphoto","Tue Sep 19 15:55:19 UTC 2017","Larry b's house"
"uuid:189caa2c-95a3-4cea-b3b2-eaa436ce426b","32",,,,,"39.2427185300","-76.5104497200","-37.0000000000","5.0000000000","sun","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_BaltimoreOpenAir2017_1503427167%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A189caa2c-95a3-4cea-b3b2-eaa436ce426b%5D%2Fphoto","Tue Sep 19 15:56:23 UTC 2017","Larry B's house"
"uuid:4dd429ce-522e-49c2-87b1-9d0a474554d8","39",,,,,"39.2426737600","-76.5104546400","-19.0000000000","6.0000000000","sun","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_BaltimoreOpenAir2017_1503427167%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A4dd429ce-522e-49c2-87b1-9d0a474554d8%5D%2Fphoto","Tue Sep 19 15:57:44 UTC 2017","Larry B's house"
"uuid:edb8339b-9169-4b50-b0ae-ee16512c2c85","33",,,,,"39.2730642800","-76.6313813000","-54.0000000000","5.0000000000",,"https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_BaltimoreOpenAir2017_1503427167%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aedb8339b-9169-4b50-b0ae-ee16512c2c85%5D%2Fphoto","Tue Sep 19 17:13:29 UTC 2017","Second chance"
